session_id,user_id,label,attack_type,event_count,session_duration_sec,failed_logins,beneficiary_adds,password_changes,security_changes,device_registers,transfer_count,total_transfer_amount,max_transfer_amount,avg_transfer_amount,transaction_velocity_per_min,new_device,new_location,time_since_prev_session_hr,impossible_travel,amount_zscore,login_hour
U0000_D1,U0000,0,normal,3,817.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,-5.151943454237445,14
U0000_D2,U0000,1,new_location,5,529.0,0,0,0,0,0,1,19794.62,19794.62,19794.62,0.11342155009451796,0,1,19.253055555555555,0,11.957618678055043,10
U0000_D3,U0000,0,normal,3,1452.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,72.23055555555555,0,-5.151943454237445,10
U0000_D4,U0000,1,new_location,5,212.0,0,0,0,0,0,1,6665.99,6665.99,6665.99,0.2830188679245283,0,1,46.93555555555555,0,0.6098327293033552,9
U0000_D5,U0000,0,normal,5,1137.0,0,0,0,0,0,1,4991.94,4991.94,4991.94,0.052770448548812667,0,1,28.139166666666668,0,-0.8371393513713051,14
U0000_D6,U0000,0,normal,4,1154.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,73.63583333333334,0,-5.151943454237445,15
U0000_D7,U0000,0,normal,4,1409.0,0,0,0,0,0,1,6927.34,6927.34,6927.34,0.042583392476934,0,0,51.316944444444445,0,0.8357316888830111,19
U0000_D8,U0000,0,normal,4,1819.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,41.794444444444444,0,-5.151943454237445,13
U0000_D9,U0000,0,normal,3,820.0,0,0,0,0,0,1,5641.04,5641.04,5641.04,0.07317073170731708,0,0,21.415,0,-0.2760870664539356,11
U0000_D10,U0000,0,normal,3,1256.0,0,0,0,0,0,1,4090.35,4090.35,4090.35,0.04777070063694267,0,0,53.87361111111111,0,-1.6164324180153518,17
U0000_D11,U0000,0,normal,4,1439.0,0,0,0,0,0,1,7132.83,7132.83,7132.83,0.04169562195969423,0,0,71.1913888888889,0,1.0133478251142083,17
U0000_D12,U0000,0,normal,3,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,39.158611111111114,0,-5.151943454237445,8
U0000_D13,U0000,1,new_location,5,430.0,0,0,0,0,0,1,4670.24,4670.24,4670.24,0.13953488372093023,0,1,30.270833333333332,0,-1.1152020844754764,15
U0000_D14,U0000,1,large_transfer,4,271.0,0,0,0,0,0,1,58042.9,58042.9,58042.9,0.22140221402214022,1,1,68.43416666666667,0,45.01767858894599,11
U0000_D15,U0000,0,normal,3,846.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,26.181944444444444,0,-5.151943454237445,14
