session_id,user_id,label,attack_type,Isolation Forest,Autoencoder,LSTM Autoencoder
U0567_D15,U0567,1,new_device,0.1310068395255629,2.2601442,0.4589417
U0042_D10,U0042,0,normal,-0.1045558700262301,0.10961304,0.22791468
U0342_D1,U0342,0,normal,0.0771203663922337,0.56022704,0.26129663
U0299_D20,U0299,0,normal,-0.1152217103725311,0.13020319,0.21377696
U0147_D1,U0147,1,credential_attack,-0.0032618931651156,1.9225305,0.78122795
U0083_D11,U0083,0,normal,-0.0169979525194578,0.24736793,0.28156546
U0547_D7,U0547,0,normal,0.0905729767339799,0.24727252,0.2699893
U0146_D12,U0146,0,normal,-0.0956455073287839,0.069907226,0.21377696
U0205_D6,U0205,0,normal,0.0189533504531519,0.77287745,0.41035748
U0267_D4,U0267,0,normal,-0.0693622162271803,0.19998099,0.21377696
U0497_D7,U0497,0,normal,-0.0509562160191614,0.28286117,0.22661936
U0045_D5,U0045,0,normal,-0.1091981444387081,0.046376947,0.1946163
U0483_D6,U0483,0,normal,-0.011062824933875,0.34353182,0.28156546
U0056_D19,U0056,0,normal,-0.0384080795990361,0.33660984,0.28156546
U0201_D9,U0201,0,normal,-0.1224775966404594,0.078430705,0.21377696
U0287_D1,U0287,0,normal,-0.0909698530478658,0.14871967,0.21377696
U0336_D11,U0336,0,normal,-0.0763425622656286,0.17225978,0.22661936
U0184_D6,U0184,0,normal,-0.1057755332852136,0.15356247,0.22791468
U0191_D15,U0191,0,normal,0.1414718864603066,0.5410415,0.25575376
U0061_D10,U0061,0,normal,-0.0551144287775558,0.19848906,0.22661936
U0194_D16,U0194,0,normal,-0.1237431673004224,0.060158227,0.21377696
U0353_D8,U0353,0,normal,-0.1193422628445147,0.0881465,0.41658178
U0499_D17,U0499,0,normal,0.1624491950726154,0.79806185,0.26129663
U0175_D14,U0175,0,normal,0.0925590105326349,0.29330063,0.26129663
U0308_D3,U0308,0,normal,-0.085882529967009,0.18032447,0.22791468
U0087_D19,U0087,0,normal,-0.1056881368107346,0.12580986,0.1946163
U0170_D9,U0170,0,normal,-0.0810880649141591,0.13616477,0.22791468
U0092_D5,U0092,1,beneficiary_attack,0.2218760228562869,2.97717,0.5442336
U0095_D18,U0095,0,normal,-0.1177453378370596,0.08360934,0.21377696
U0385_D1,U0385,0,normal,-0.0575568325653949,0.36573786,0.22791468
U0574_D12,U0574,1,beneficiary_attack,0.1859868686601401,3.4902048,0.5442336
U0148_D7,U0148,0,normal,0.0008254392084885,0.13578375,0.28156546
U0112_D4,U0112,0,normal,-0.0587929349163091,0.17929508,0.25575376
U0343_D5,U0343,0,normal,-0.1063914903896403,0.15850364,0.22791468
